pFactor,iFactor,dFactor,delay,latency,iLength,dLength,median
0.0,0.4,0.43,0,1,2,2,0.8588508723383654
0.0,0.41,0.38,0,1,2,2,0.9345580236491173
0.0,0.41,0.39,0,1,2,2,0.7720299399868509
0.0,0.41,0.4,0,1,2,2,0.28747392202352273
0.0,0.41,0.41,0,1,2,2,0.6253880844549542
0.0,0.42,0.38,0,1,2,2,0.7760179655913078
0.0,0.42,0.39,0,1,2,2,0.413165851549536
0.0,0.42,0.4,0,1,2,2,0.7758074490956517
0.0,0.43,0.39,0,1,2,2,0.8215403046890231
0.0,0.43,0.4,0,1,2,2,0.9023888609710582
0.0,0.44,0.43,0,1,2,2,0.27411405018094115
0.0,0.45,0.48,0,1,2,2,0.1919530671024745
0.0,0.47,0.19,0,1,2,2,0.898226348192793
0.0,0.47,0.2,0,1,2,2,0.33842725590882594
0.0,0.47,0.21,0,1,2,2,0.2965647079765006
0.0,0.47,0.22,0,1,2,2,0.4268985698796257
0.0,0.47,0.25,0,1,2,2,0.8557537012076182
0.0,0.47,0.27,0,1,2,2,0.4789615307646926
0.0,0.48,0.16,0,1,2,2,0.8489931111111559
0.0,0.48,0.17,0,1,2,2,0.7615014468787535
0.0,0.48,0.18,0,1,2,2,0.4410135959802375
0.0,0.48,0.19,0,1,2,2,0.020464843753742912
0.0,0.48,0.2,0,1,2,2,0.8446521403716645
0.0,0.48,0.3,0,1,2,2,0.7479109430484954
0.0,0.49,0.13,0,1,2,2,0.9406913533960051
0.0,0.49,0.14,0,1,2,2,0.8100596553318695
0.0,0.49,0.15,0,1,2,2,0.6019882217714496
0.0,0.49,0.16,0,1,2,2,0.025741278050347205
0.0,0.49,0.17,0,1,2,2,0.4133149947655994
0.0,0.49,0.34,0,1,2,2,0.3106188170084465
0.0,0.5,0.13,0,1,2,2,0.4635100115465036
0.0,0.5,0.14,0,1,2,2,0.002218398325013027
0.0,0.5,0.15,0,1,2,2,0.5652206610080839
0.01,0.39,0.47,0,1,2,2,0.5259244966230199
0.01,0.39,0.48,0,1,2,2,0.5644043005517574
0.01,0.4,0.41,0,1,2,2,0.9629722365577749
0.01,0.4,0.42,0,1,2,2,0.2615922858118154
0.01,0.4,0.43,0,1,2,2,0.2040397179392528
0.01,0.41,0.41,0,1,2,2,0.6678628507164319
0.01,0.41,0.42,0,1,2,2,0.29800185036367566
0.01,0.41,0.43,0,1,2,2,0.16299858255196398
0.01,0.42,0.42,0,1,2,2,0.7820682056789963
0.01,0.42,0.43,0,1,2,2,0.35012760690415234
0.01,0.42,0.44,0,1,2,2,0.5907147703141788
0.01,0.42,0.45,0,1,2,2,0.7732400125855747
0.01,0.43,0.45,0,1,2,2,0.7072812502009072
0.01,0.43,0.47,0,1,2,2,0.7681757977515815
0.01,0.46,0.23,0,1,2,2,0.5148719491062366
0.01,0.46,0.24,0,1,2,2,0.12661305353091734
0.01,0.46,0.25,0,1,2,2,0.32872333804199627
0.01,0.46,0.29,0,1,2,2,0.9525670658751153
0.01,0.46,0.31,0,1,2,2,0.032388352617701344
0.01,0.47,0.2,0,1,2,2,0.5077022775565467
0.01,0.47,0.21,0,1,2,2,0.31452060619805877
0.01,0.47,0.22,0,1,2,2,0.207337029996836
0.01,0.47,0.23,0,1,2,2,0.7870165453422402
0.01,0.47,0.33,0,1,2,2,0.27988522895185497
0.01,0.47,0.34,0,1,2,2,0.058543437430870426
0.01,0.48,0.17,0,1,2,2,0.656688646837793
0.01,0.48,0.18,0,1,2,2,0.4381215197892061
0.01,0.48,0.19,0,1,2,2,0.03481266773411562
0.01,0.48,0.2,0,1,2,2,0.5130636754349496
0.01,0.49,0.17,0,1,2,2,0.05146648404470966
0.01,0.49,0.18,0,1,2,2,0.6051628562865972
0.01,0.5,0.21,0,1,2,2,0.7723488921600961
0.02,0.38,0.5,0,1,2,2,0.7284623929425749
0.02,0.39,0.45,0,1,2,2,0.8398464931269132
0.02,0.39,0.46,0,1,2,2,0.40165279917135877
0.02,0.39,0.47,0,1,2,2,0.5910289524836116
0.02,0.4,0.44,0,1,2,2,0.9422065238792072
0.02,0.4,0.45,0,1,2,2,0.036099940961605625
0.02,0.4,0.46,0,1,2,2,0.3329232643212947
0.02,0.4,0.47,0,1,2,2,0.9180352582800708
0.02,0.41,0.46,0,1,2,2,0.334313205403447
0.02,0.41,0.47,0,1,2,2,0.6816568256992355
0.02,0.41,0.48,0,1,2,2,0.2064564400112232
0.02,0.41,0.49,0,1,2,2,0.42194510746537617
0.02,0.42,0.49,0,1,2,2,0.31985618090396883
0.02,0.45,0.25,0,1,2,2,0.68868392979482
0.02,0.45,0.26,0,1,2,2,0.6343279103899562
0.02,0.45,0.27,0,1,2,2,0.009951905694876473
0.02,0.45,0.28,0,1,2,2,0.7120884398922982
0.02,0.45,0.31,0,1,2,2,0.7200405204929865
0.02,0.45,0.35,0,1,2,2,0.6975862845413019
0.02,0.46,0.21,0,1,2,2,0.9982542040369111
0.02,0.46,0.22,0,1,2,2,0.7227367540136242
0.02,0.46,0.23,0,1,2,2,0.7212299614693904
0.02,0.46,0.24,0,1,2,2,0.07126868396770192
0.02,0.46,0.25,0,1,2,2,0.2863599544692761
0.02,0.46,0.26,0,1,2,2,0.9755676622685456
0.02,0.46,0.37,0,1,2,2,0.9524167317619288
0.02,0.47,0.2,0,1,2,2,0.7873440403295717
0.02,0.47,0.21,0,1,2,2,0.2996719297464949
0.02,0.47,0.22,0,1,2,2,0.047821145188265746
0.02,0.47,0.23,0,1,2,2,0.6020731269476869
0.02,0.48,0.21,0,1,2,2,0.7425340583891256
0.02,0.49,0.25,0,1,2,2,0.5667067357699693
0.03,0.38,0.48,0,1,2,2,0.62699973179582
0.03,0.38,0.49,0,1,2,2,0.545491278233186
0.03,0.39,0.48,0,1,2,2,0.4124854454660323
0.03,0.39,0.49,0,1,2,2,0.6742893532181711
0.03,0.4,0.5,0,1,2,2,0.22503087121074827
0.03,0.43,0.32,0,1,2,2,0.8316985221106421
0.03,0.44,0.27,0,1,2,2,0.8331674904345334
0.03,0.44,0.28,0,1,2,2,0.8205535381344902
0.03,0.44,0.29,0,1,2,2,0.274300561545914
0.03,0.44,0.3,0,1,2,2,0.08792263746853735
0.03,0.44,0.31,0,1,2,2,0.6548465281798883
0.03,0.44,0.35,0,1,2,2,0.18964865573219924
0.03,0.44,0.37,0,1,2,2,0.5921445780506929
0.03,0.45,0.25,0,1,2,2,0.8718832088392503
0.03,0.45,0.26,0,1,2,2,0.351379056481278
0.03,0.45,0.27,0,1,2,2,0.21938676951282332
0.03,0.45,0.28,0,1,2,2,0.48669267809907524
0.03,0.46,0.23,0,1,2,2,0.7124975454053839
0.03,0.46,0.24,0,1,2,2,0.3804327145392108
0.03,0.46,0.25,0,1,2,2,0.14901268735995643
0.03,0.46,0.26,0,1,2,2,0.6829298848998633
0.03,0.48,0.29,0,1,2,2,0.28859775595964265
0.03,0.5,0.18,0,1,2,2,0.7824086219247306
0.04,0.42,0.36,0,1,2,2,0.6638061992345285
0.04,0.43,0.31,0,1,2,2,0.4880716129001996
0.04,0.43,0.32,0,1,2,2,0.38018874240171385
0.04,0.43,0.33,0,1,2,2,0.2603939065787131
0.04,0.43,0.34,0,1,2,2,0.6629679161981983
0.04,0.43,0.4,0,1,2,2,0.8531965386484899
0.04,0.43,0.41,0,1,2,2,0.07822356684623344
0.04,0.44,0.28,0,1,2,2,0.8504210749145216
0.04,0.44,0.29,0,1,2,2,0.5377173615045336
0.04,0.44,0.3,0,1,2,2,0.10181818923328478
0.04,0.44,0.31,0,1,2,2,0.47174059919079525
0.04,0.45,0.25,0,1,2,2,0.9583480553920936
0.04,0.45,0.26,0,1,2,2,0.6929035638878389
0.04,0.45,0.27,0,1,2,2,0.3293964491244594
0.04,0.45,0.28,0,1,2,2,0.1737832675426887
0.04,0.45,0.29,0,1,2,2,0.7300971825825968
0.04,0.49,0.15,0,1,2,2,0.9085711745387925
0.04,0.49,0.16,0,1,2,2,0.8793526341747793
0.04,0.49,0.17,0,1,2,2,0.8009081091184953
0.04,0.49,0.18,0,1,2,2,0.8688370471151927
0.04,0.49,0.19,0,1,2,2,0.8320280309845884
0.04,0.49,0.22,0,1,2,2,0.3682258711618829
0.04,0.5,0.16,0,1,2,2,0.6143634728679359
0.04,0.5,0.28,0,1,2,2,0.015479876077534982
0.05,0.41,0.35,0,1,2,2,0.9216921379530874
0.05,0.41,0.37,0,1,2,2,0.5025079620407382
0.05,0.41,0.4,0,1,2,2,0.5286153834108518
0.05,0.41,0.41,0,1,2,2,0.4902843728603443
0.05,0.42,0.34,0,1,2,2,0.7884838560968461
0.05,0.42,0.35,0,1,2,2,0.050826857931653535
0.05,0.42,0.36,0,1,2,2,0.2120547921230127
0.05,0.42,0.37,0,1,2,2,0.9501743402926621
0.05,0.42,0.44,0,1,2,2,0.1744145734700595
0.05,0.43,0.31,0,1,2,2,0.8671370886242187
0.05,0.43,0.32,0,1,2,2,0.3415478317846379
0.05,0.43,0.33,0,1,2,2,0.002732761881418355
